,company,typename,inches,ram,x_res,y_res,full_hd,ips_panel,touchscreen,4k_display,cpu_type,cpu_speed,cpu_brand,primary_memory_type,primary_memory_capacity,secondary_memory_type,secondary_memory_capacity,gpu_brand,os,weight,price
50,lenovo,2 in 1 convertible,10.1,4,1920,1200,0,1,1,0,others,1.44,intel,flash storage,64,no secondary memory,0,intel hd,windows,0.69,16996.32
51,acer,notebook,15.6,8,1920,1080,1,1,0,0,core i7,1.8,intel,ssd,256,no secondary memory,0,nvidia geforce,windows,2.2,44808.48
52,hp,notebook,15.6,4,1920,1080,1,0,0,0,a series,2.5,amd,ssd,256,no secondary memory,0,amd radeon,windows,1.86,21231.55
53,hp,notebook,13.3,8,1920,1080,1,0,0,0,core i7,1.8,intel,ssd,512,no secondary memory,0,intel uhd,windows,1.49,58767.84
54,acer,notebook,15.6,4,1366,768,0,0,0,0,core i3,2.4,intel,hdd,1024,no secondary memory,0,intel hd,windows,2.4,20459.52
55,dell,notebook,15.6,8,1920,1080,1,0,0,0,core i7,1.8,intel,ssd,256,no secondary memory,0,amd radeon,windows,2.13,40908.38
56,hp,notebook,15.6,4,1920,1080,1,0,0,0,core i3,2.0,intel,ssd,128,no secondary memory,0,intel hd,windows,1.91,23389.92
57,asus,notebook,15.6,4,1366,768,0,0,0,0,core i5,2.5,intel,ssd,256,no secondary memory,0,intel hd,windows,2.0,31232.2
58,msi,gaming,17.3,16,1920,1080,1,0,0,0,core i7,2.8,intel,ssd,256,hdd,2048,nvidia geforce,windows,2.43,130482.72
59,asus,notebook,15.6,4,1920,1080,1,0,0,0,core i3,2.0,intel,ssd,256,no secondary memory,0,intel hd,linux,2.0,22111.2
60,dell,notebook,17.3,16,1920,1080,1,0,0,0,core i7,1.8,intel,ssd,256,hdd,2048,amd radeon,windows,2.8,69210.72
61,dell,ultrabook,14.0,8,1920,1080,1,0,0,0,core i5,1.6,intel,ssd,256,no secondary memory,0,intel uhd,windows,1.7,46833.12
62,lenovo,notebook,14.0,8,1920,1080,1,1,0,0,core i3,2.7,intel,ssd,256,no secondary memory,0,intel hd,no os,1.7,31914.72
63,asus,notebook,14.0,8,1920,1080,1,0,0,0,core i5,1.6,intel,ssd,256,no secondary memory,0,intel uhd,windows,1.4,50136.48
64,hp,notebook,15.6,8,1920,1080,1,0,0,0,core i5,2.5,intel,ssd,256,no secondary memory,0,intel hd,windows,1.86,36763.2
65,asus,ultrabook,15.6,16,1920,1080,1,0,0,0,core i7,2.8,intel,ssd,512,no secondary memory,0,nvidia geforce,windows,1.8,105654.24
66,hp,notebook,15.6,4,1366,768,0,0,0,0,core i3,2.0,intel,hdd,500,no secondary memory,0,amd radeon,windows,1.86,23373.4
67,hp,notebook,14.0,4,1366,768,0,0,0,0,celeron,1.6,intel,ssd,32,no secondary memory,0,intel hd,windows,1.44,12201.12
68,lenovo,notebook,15.6,4,1920,1080,1,0,0,0,core i5,2.5,intel,hdd,1024,no secondary memory,0,intel hd,windows,1.9,29250.72
69,asus,gaming,17.3,12,1920,1080,1,0,0,0,core i7,2.8,intel,hdd,1024,no secondary memory,0,nvidia geforce,linux,3.0,50562.72
70,microsoft,ultrabook,13.5,4,2256,1504,0,0,1,0,core i5,2.5,intel,ssd,128,no secondary memory,0,intel hd,windows,1.25,58021.92
71,dell,ultrabook,13.3,8,1920,1080,1,1,0,0,core i7,1.8,intel,ssd,256,no secondary memory,0,amd radeon,windows,1.4,50882.4
72,dell,notebook,15.6,8,1920,1080,1,0,0,0,core i7,1.8,intel,ssd,256,no secondary memory,0,amd radeon,windows,2.2,46353.6
73,msi,gaming,17.3,8,1920,1080,1,0,0,0,core i5,2.5,intel,ssd,128,hdd,1024,nvidia geforce,windows,2.7,58341.6
74,acer,notebook,14.0,8,1366,768,0,0,0,0,core i3,2.0,intel,hdd,1024,no secondary memory,0,intel hd,windows,2.1,20725.92
75,asus,gaming,15.6,8,1920,1080,1,0,0,0,core i7,2.8,intel,hdd,1024,no secondary memory,0,nvidia geforce,windows,2.2,50562.72
76,lenovo,notebook,15.6,8,1920,1080,1,0,0,0,core i5,2.5,intel,hdd,2048,no secondary memory,0,intel hd,no os,2.2,27652.32
77,dell,notebook,15.6,8,1920,1080,1,0,0,0,core i7,1.8,intel,ssd,128,hdd,1024,intel uhd,windows,2.02,45554.4
78,acer,notebook,15.6,4,1920,1080,1,0,0,0,core i3,2.7,intel,hdd,1024,no secondary memory,0,nvidia geforce,windows,2.2,28238.4
79,hp,notebook,17.3,8,1920,1080,1,0,0,0,core i5,1.6,intel,ssd,128,hdd,1024,nvidia geforce,windows,2.5,52054.56
80,dell,ultrabook,15.6,8,1920,1080,1,1,0,0,core i5,1.6,intel,ssd,256,no secondary memory,0,intel uhd,windows,1.88,58403.4
81,apple,ultrabook,12.0,8,2304,1440,0,1,0,0,core i5,1.3,intel,ssd,512,no secondary memory,0,intel hd,mac,0.92,80452.8
82,hp,notebook,14.0,8,1920,1080,1,0,0,0,core i5,1.6,intel,ssd,256,no secondary memory,0,intel hd,windows,1.63,45820.8
83,lenovo,notebook,15.6,4,1920,1080,1,0,0,0,a series,2.5,amd,ssd,128,no secondary memory,0,amd,windows,2.2,21258.72
84,acer,notebook,15.6,4,1366,768,0,0,0,0,a series,3.0,amd,hdd,1024,no secondary memory,0,amd radeon,windows,2.1,21045.6
85,dell,gaming,15.6,16,1920,1080,1,1,0,0,core i7,2.8,intel,ssd,128,hdd,1024,nvidia geforce,windows,2.65,71874.72
86,hp,ultrabook,15.6,8,1920,1080,1,1,0,0,core i7,1.8,intel,ssd,256,no secondary memory,0,nvidia geforce,windows,1.83,37242.72
87,hp,notebook,15.6,8,1920,1080,1,0,0,0,core i5,2.5,intel,ssd,256,no secondary memory,0,intel hd,windows,1.96,31914.19
88,asus,gaming,15.6,16,1920,1080,1,1,0,0,core i7,2.8,intel,ssd,128,hdd,1024,nvidia geforce,windows,2.2,77202.72
89,dell,ultrabook,13.3,8,1920,1080,1,1,0,0,core i7,1.8,intel,ssd,256,no secondary memory,0,intel uhd,windows,1.21,87858.72
90,asus,gaming,15.6,8,1920,1080,1,0,0,0,others,3.0,amd,hdd,1024,no secondary memory,0,amd radeon,windows,2.45,37242.72
91,acer,notebook,15.6,8,1920,1080,1,0,0,0,core i7,1.8,intel,hdd,1024,no secondary memory,0,nvidia geforce,windows,2.2,36709.92
92,hp,notebook,13.3,16,1920,1080,1,0,0,0,core i7,1.8,intel,ssd,512,no secondary memory,0,intel uhd,windows,1.49,63776.16
93,dell,gaming,15.6,8,1920,1080,1,0,0,0,core i5,2.5,intel,ssd,256,no secondary memory,0,nvidia geforce,windows,2.65,63669.6
94,asus,ultrabook,14.0,8,1920,1080,1,0,0,0,core i7,2.7,intel,ssd,256,no secondary memory,0,intel hd,windows,1.25,55890.72
95,acer,2 in 1 convertible,13.3,8,1920,1080,1,1,1,0,core i5,1.6,intel,ssd,256,no secondary memory,0,intel uhd,windows,1.5,45128.16
96,dell,notebook,15.6,8,1920,1080,1,0,0,0,core i7,2.7,intel,hdd,1024,no secondary memory,0,amd radeon,linux,2.2,31962.67
97,dell,notebook,15.6,4,1920,1080,1,0,0,0,core i3,2.0,intel,ssd,256,no secondary memory,0,amd radeon,linux,2.2,25840.8
98,asus,notebook,15.6,6,1920,1080,1,0,0,0,core i3,2.4,intel,ssd,256,no secondary memory,0,nvidia geforce,windows,2.0,30742.56
99,hp,gaming,15.6,12,1920,1080,1,1,0,0,core i7,2.8,intel,ssd,128,hdd,1024,nvidia geforce,windows,2.62,66546.72
100,hp,notebook,15.6,8,1920,1080,1,0,0,0,core i7,2.7,intel,ssd,256,no secondary memory,0,amd radeon,windows,1.91,38308.32
101,hp,notebook,15.6,4,1920,1080,1,0,0,0,others,1.5,amd,hdd,500,no secondary memory,0,amd radeon,windows,2.1,18594.72
102,dell,notebook,15.6,8,1920,1080,1,0,0,0,core i5,1.6,intel,hdd,1024,no secondary memory,0,amd radeon,linux,2.2,34472.16
103,hp,ultrabook,13.3,8,1920,1080,1,1,0,0,core i7,2.7,intel,ssd,256,no secondary memory,0,nvidia geforce,windows,1.38,59620.32
104,microsoft,ultrabook,13.5,8,2256,1504,0,0,1,0,core i5,2.5,intel,ssd,256,no secondary memory,0,intel hd,windows,1.25,71395.2
105,hp,notebook,14.0,6,1920,1080,1,1,0,0,core i5,2.5,intel,ssd,256,no secondary memory,0,nvidia geforce,windows,1.58,35111.52
106,lenovo,notebook,15.6,4,1920,1080,1,0,0,0,core i3,2.0,intel,hdd,1024,no secondary memory,0,intel hd,windows,1.85,22105.87
107,asus,ultrabook,14.0,8,1920,1080,1,1,0,0,core i7,2.7,intel,ssd,256,no secondary memory,0,nvidia geforce,windows,1.3,63563.04
108,msi,gaming,15.6,16,1920,1080,1,0,0,0,core i7,2.8,intel,ssd,256,hdd,1024,nvidia geforce,windows,2.2,69210.72
109,lenovo,notebook,14.0,8,1920,1080,1,1,0,0,core i7,2.7,intel,ssd,256,no secondary memory,0,intel hd,windows,1.58,78854.4
110,asus,ultrabook,15.6,16,1920,1080,1,0,0,0,core i7,1.8,intel,ssd,256,hdd,1024,nvidia geforce,windows,1.5,67239.36
111,dell,ultrabook,13.3,8,3200,1800,0,0,1,0,core i7,2.4,intel,ssd,256,no secondary memory,0,intel,windows,1.23,73473.12
112,lenovo,2 in 1 convertible,13.3,8,1920,1080,1,1,1,0,core i5,2.5,intel,ssd,256,no secondary memory,0,intel hd,windows,1.37,74538.72
113,hp,notebook,14.0,4,1366,768,0,1,0,0,core i5,1.6,intel,hdd,500,no secondary memory,0,intel uhd,windows,1.63,38468.16
114,dell,ultrabook,13.3,8,1920,1080,1,1,0,0,core i5,1.6,intel,ssd,256,no secondary memory,0,intel uhd,windows,1.21,86793.12
115,hp,2 in 1 convertible,13.3,8,1920,1080,1,1,1,0,core i5,1.6,intel,ssd,256,no secondary memory,0,intel uhd,windows,1.26,74538.19
116,hp,notebook,14.0,8,1920,1080,1,0,0,0,core i7,1.8,intel,ssd,512,no secondary memory,0,intel uhd,windows,1.63,57755.52
117,dell,notebook,15.6,8,1920,1080,1,1,0,0,core i7,1.8,intel,ssd,256,hdd,1024,nvidia geforce,windows,2.16,60223.98
118,asus,notebook,17.3,4,1920,1080,1,0,0,0,core i3,2.0,intel,hdd,1024,no secondary memory,0,nvidia geforce,windows,2.0,30049.92
119,asus,notebook,15.6,8,1920,1080,1,0,0,0,core i7,1.8,intel,ssd,256,no secondary memory,0,nvidia geforce,windows,1.7,59567.04
120,acer,notebook,15.6,6,1920,1080,1,1,1,0,core i3,2.4,intel,hdd,1024,no secondary memory,0,intel hd,windows,2.1,25521.12
121,msi,gaming,15.6,16,1920,1080,1,0,0,0,core i7,2.8,intel,ssd,256,hdd,2048,nvidia geforce,windows,1.8,119427.12
122,lenovo,notebook,15.6,8,1920,1080,1,0,0,0,core i5,2.5,intel,ssd,256,no secondary memory,0,nvidia geforce,no os,2.2,33513.12
123,hp,notebook,17.3,16,1920,1080,1,0,0,0,core i7,1.8,intel,ssd,512,no secondary memory,0,nvidia geforce,windows,2.5,67718.88
124,acer,notebook,15.6,4,1366,768,0,0,0,0,a series,3.0,amd,ssd,256,no secondary memory,0,amd radeon,windows,2.1,24029.28
125,hp,notebook,15.6,4,1366,768,0,0,0,0,celeron,1.6,intel,hdd,500,no secondary memory,0,intel hd,no os,1.86,13799.52
126,hp,notebook,14.0,8,1920,1080,1,0,0,0,core i5,1.6,intel,hdd,1024,no secondary memory,0,intel uhd,windows,1.63,43263.36
127,asus,notebook,14.0,4,1366,768,0,0,0,0,others,1.5,amd,ssd,64,no secondary memory,0,amd radeon,windows,1.65,14811.31
128,dell,notebook,17.3,16,1920,1080,1,0,0,0,core i7,1.8,intel,ssd,256,hdd,2048,amd radeon,windows,2.8,74378.88
129,hp,notebook,17.3,8,1920,1080,1,0,0,0,core i5,1.6,intel,ssd,256,no secondary memory,0,intel uhd,windows,2.5,49443.84
130,dell,notebook,15.6,8,1366,768,0,0,0,0,core i5,2.5,intel,hdd,1024,no secondary memory,0,amd radeon,windows,2.36,34045.39
131,dell,notebook,15.6,4,1920,1080,1,0,0,0,core i3,2.0,intel,hdd,1024,no secondary memory,0,amd radeon,windows,2.2,23922.72
132,acer,ultrabook,14.0,8,1920,1080,1,1,0,0,core i7,1.8,intel,ssd,256,no secondary memory,0,intel uhd,windows,1.6,47099.52
133,acer,notebook,15.6,4,1920,1080,1,0,0,0,core i3,2.7,intel,ssd,256,no secondary memory,0,nvidia geforce,windows,2.2,30476.16
134,hp,notebook,15.6,8,1366,768,0,0,0,0,core i7,2.7,intel,hdd,1024,no secondary memory,0,intel hd,windows,2.05,31861.44
135,hp,notebook,14.0,8,1920,1080,1,0,0,0,core i7,1.8,intel,ssd,256,no secondary memory,0,intel uhd,windows,1.63,52640.64
136,lenovo,notebook,15.6,4,1366,768,0,0,0,0,celeron,1.1,intel,hdd,1024,no secondary memory,0,intel hd,no os,1.9,13445.74
137,asus,gaming,17.3,8,1920,1080,1,0,0,0,core i5,2.5,intel,ssd,128,hdd,1024,nvidia geforce,windows,3.0,49976.64
138,lenovo,notebook,15.6,4,1920,1080,1,0,0,0,core i5,2.5,intel,hdd,1024,no secondary memory,0,nvidia geforce,no os,2.2,26586.72
139,hp,notebook,13.3,4,1920,1080,1,1,0,0,core i5,2.5,intel,ssd,256,no secondary memory,0,intel hd,windows,1.32,37242.72
140,acer,notebook,17.3,4,1920,1080,1,1,0,0,core i3,2.7,intel,hdd,1024,no secondary memory,0,nvidia geforce,windows,3.0,34898.4
141,lenovo,notebook,14.0,8,1920,1080,1,1,0,0,core i5,1.6,intel,ssd,256,no secondary memory,0,amd radeon,windows,1.75,59461.55
142,lenovo,gaming,15.6,8,1920,1080,1,1,0,0,core i7,2.8,intel,ssd,256,no secondary memory,0,nvidia geforce,no os,2.4,46300.32
143,toshiba,notebook,15.6,4,1366,768,0,0,0,0,core i5,2.3,intel,hdd,500,no secondary memory,0,intel hd,windows,2.1,32074.56
144,hp,notebook,15.6,4,1366,768,0,0,0,0,a series,2.5,amd,ssd,256,no secondary memory,0,amd radeon,windows,1.86,19660.32
145,asus,ultrabook,14.0,8,1920,1080,1,0,0,0,core i7,1.8,intel,ssd,256,no secondary memory,0,intel uhd,windows,1.25,58554.72
146,hp,ultrabook,12.5,8,3840,2160,0,1,1,1,others,1.2,intel,ssd,512,no secondary memory,0,intel hd,windows,0.97,107305.92
147,asus,notebook,15.6,4,1920,1080,1,0,0,0,celeron,1.1,intel,hdd,1024,no secondary memory,0,intel hd,windows,2.0,18328.32
148,msi,gaming,17.3,16,1920,1080,1,0,0,0,core i7,2.8,intel,ssd,256,hdd,1024,nvidia geforce,windows,2.9,108105.12
149,acer,notebook,15.6,4,1366,768,0,0,0,0,core i3,2.0,intel,hdd,1024,no secondary memory,0,intel hd,windows,2.1,23816.16
150,dell,gaming,15.6,16,1920,1080,1,0,0,0,core i7,2.8,intel,ssd,512,no secondary memory,0,nvidia geforce,windows,2.56,66560.57
151,dell,gaming,15.6,8,1920,1080,1,0,0,0,core i7,2.8,intel,hybrid,1024,no secondary memory,0,nvidia geforce,windows,2.62,47898.72
152,lenovo,notebook,15.6,4,1366,768,0,0,0,0,core i5,2.5,intel,ssd,128,no secondary memory,0,intel hd,windows,1.9,26533.44
153,msi,gaming,17.3,16,1920,1080,1,0,0,0,core i7,2.8,intel,ssd,256,hdd,1024,nvidia geforce,windows,2.8,100699.2
154,hp,ultrabook,14.0,4,1920,1080,1,0,0,0,core i5,2.7,intel,ssd,256,no secondary memory,0,intel hd,windows,1.48,57648.96
155,hp,notebook,15.6,6,1920,1080,1,0,0,0,core i5,1.6,intel,ssd,256,no secondary memory,0,amd radeon,windows,1.91,32980.32
156,lenovo,2 in 1 convertible,14.0,4,1920,1080,1,1,1,0,core i3,2.4,intel,ssd,256,no secondary memory,0,intel hd,windows,1.74,33513.12
157,asus,2 in 1 convertible,13.3,8,1920,1080,1,0,1,0,core i5,1.6,intel,ssd,256,no secondary memory,0,intel hd,windows,1.1,70063.2
158,dell,2 in 1 convertible,15.6,8,1920,1080,1,0,1,0,core i7,1.8,intel,ssd,256,no secondary memory,0,intel uhd,windows,1.56,55890.72
159,toshiba,notebook,15.6,4,1366,768,0,0,0,0,core i3,2.2,intel,hdd,500,no secondary memory,0,intel hd,windows,2.1,23816.16
160,asus,notebook,15.6,4,1366,768,0,0,0,0,a series,3.0,amd,hdd,1024,no secondary memory,0,amd radeon,windows,2.03,21471.84
161,acer,notebook,17.3,4,1920,1080,1,1,0,0,core i5,1.6,intel,ssd,256,no secondary memory,0,nvidia geforce,windows,3.0,42890.4
162,dell,notebook,15.6,8,1920,1080,1,0,0,0,core i5,1.6,intel,ssd,256,no secondary memory,0,amd radeon,windows,2.13,38787.84
163,lenovo,gaming,15.6,16,1920,1080,1,1,0,0,core i7,2.8,intel,ssd,256,no secondary memory,0,nvidia geforce,windows,2.5,57489.12
164,acer,notebook,15.6,4,1366,768,0,0,0,0,celeron,1.1,intel,hdd,1024,no secondary memory,0,intel hd,windows,2.1,18541.44
165,msi,gaming,15.6,16,1920,1080,1,1,0,0,core i7,2.8,intel,ssd,256,hdd,1024,nvidia geforce,windows,2.4,95850.72
166,acer,notebook,15.6,4,1366,768,0,0,0,0,pentium,1.1,intel,hdd,1024,no secondary memory,0,intel hd,windows,2.1,19367.81
167,dell,gaming,15.6,8,1920,1080,1,0,0,0,core i7,2.8,intel,ssd,128,hdd,1024,nvidia geforce,windows,2.56,56502.91
168,acer,notebook,17.3,8,1920,1080,1,1,0,0,core i5,1.6,intel,ssd,256,no secondary memory,0,nvidia geforce,windows,3.0,45501.12
169,hp,notebook,13.3,4,1920,1080,1,1,0,0,core i5,1.6,intel,hdd,500,no secondary memory,0,intel uhd,windows,1.49,40173.12
170,huawei,ultrabook,13.0,8,2160,1440,1,1,0,0,core i5,2.5,intel,ssd,256,no secondary memory,0,intel hd,windows,1.05,71874.72
171,hp,notebook,17.3,6,1920,1080,1,1,0,0,core i5,2.5,intel,hdd,2048,no secondary memory,0,amd radeon,windows,2.71,37242.72
172,lenovo,notebook,15.6,4,1366,768,0,0,0,0,a series,2.9,amd,hdd,500,no secondary memory,0,amd radeon,no os,2.2,16463.52
173,toshiba,notebook,15.6,4,1366,768,0,0,0,0,core i3,2.4,intel,hdd,500,no secondary memory,0,intel hd,windows,2.0,26053.92
174,hp,notebook,17.3,8,1920,1080,1,0,0,0,core i5,1.6,intel,ssd,256,no secondary memory,0,nvidia geforce,windows,2.5,49177.44
175,dell,notebook,15.6,8,1366,768,0,0,0,0,core i3,2.4,intel,hdd,1024,no secondary memory,0,intel hd,windows,2.3,24455.52
176,acer,notebook,15.6,4,1366,768,0,0,0,0,core i3,2.0,intel,ssd,128,no secondary memory,0,intel hd,windows,2.1,23922.72
177,msi,gaming,18.4,32,1920,1080,1,0,0,0,core i7,2.9,intel,ssd,512,hdd,1024,nvidia,windows,4.4,149130.72
178,lenovo,notebook,15.6,8,1920,1080,1,0,0,0,core i5,2.5,intel,ssd,128,hdd,1024,amd,windows,1.9,43316.64
179,hp,2 in 1 convertible,13.3,8,3840,2160,0,1,1,1,core i5,1.6,intel,ssd,256,no secondary memory,0,intel uhd,windows,1.29,79866.72
180,dell,notebook,15.6,16,1920,1080,1,0,0,0,core i7,1.8,intel,ssd,256,hdd,2048,amd radeon,linux,2.02,55890.72
181,dell,ultrabook,13.3,8,1920,1080,1,0,0,0,core i5,1.6,intel,ssd,256,no secondary memory,0,intel uhd,windows,1.23,74538.72
182,lenovo,2 in 1 convertible,13.9,16,3840,2160,0,1,1,1,core i7,1.8,intel,ssd,512,no secondary memory,0,intel uhd,windows,1.4,98514.72
183,toshiba,notebook,15.6,8,1366,768,0,0,0,0,core i5,2.5,intel,ssd,128,no secondary memory,0,intel hd,windows,2.0,42251.04
184,xiaomi,notebook,15.6,8,1920,1080,1,1,0,0,core i5,1.6,intel,ssd,256,no secondary memory,0,nvidia geforce,no os,1.95,63882.72
185,dell,notebook,17.3,16,1920,1080,1,0,1,0,core i7,1.8,intel,ssd,512,no secondary memory,0,nvidia geforce,windows,2.77,82530.72
